week,state,stringency_index,government_response_index,containment_health_index,economic_support_index,c1_school_closing,c1_flag,c2_workplace_closing,c2_flag,c3_cancel_public_events,c3_flag,c4_restrictions_on_gatherings,c4_flag,c5_close_public_transport,c5_flag,c6_stay_at_home_requirements,c6_flag,c7_movementrestrictions,c7_flag,c8_internationaltravel,e1_income_support,e1_flag,e2_debtrelief,h1_public_information_campaigns,h1_flag,h2_testing_policy,h3_contact_tracing,h6_facial_coverings,h6_flag,h7_vaccination_policy,h7_flag,h8_protection_of_elderly_people,h8_flag,confirmed_cases,confirmed_deaths,region,population_density,urban_percentage,confirmed_cases_discretized,confirmed_deaths_discretized,stringency_index_discretized,government_response_index_discretized,containment_health_index_discretized,economic_support_index_discretized,urban_percentage_discretized,population_density_normalized,population_density_discretized
1,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
2,Alaska,3.971428571428571,2.2285714285714286,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
3,Alaska,5.5600000000000005,3.1200000000000006,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
4,Alaska,5.5600000000000005,7.5857142857142845,8.669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
5,Alaska,6.352857142857142,9.224285714285713,10.031428571428568,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
6,Alaska,13.492857142857144,12.797142857142857,14.629999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4285714285714286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
7,Alaska,16.67,14.58,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
8,Alaska,16.67,14.58,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
9,Alaska,16.67,14.58,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
10,Alaska,19.44,16.150000000000002,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Region10_Seattle,1.28,66.0,low,low,1,1,1,1,medium,0.0,low
11,Alaska,24.337142857142855,22.472857142857144,25.677142857142858,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.8571428571428571,0.42857142857142855,0.1357,0.0,Region10_Seattle,1.28,66.0,low,low,2,2,2,1,medium,0.0,low
12,Alaska,63.42571428571428,52.86428571428571,55.05714285714286,37.5,3.0,1.0,2.142857142857143,0.42857142857142855,1.8571428571428572,0.8571428571428571,3.2857142857142856,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,1.0,1.0,3.0,0.42857142857142855,0.0,1.2857142857142858,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.3918,0.0,Region10_Seattle,1.28,66.0,low,low,4,3,3,2,medium,0.0,low
13,Alaska,78.37714285714287,65.7357142857143,64.67142857142858,73.21428571428571,3.0,1.0,3.0,0.2857142857142857,2.0,1.0,4.0,0.8571428571428571,1.0,0.0,2.0,0.2857142857142857,1.2857142857142858,1.0,3.0,1.4285714285714286,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,11.5322,0.2713,Region10_Seattle,1.28,66.0,low,low,4,4,4,4,medium,0.0,low
