week,state,region,population_density_discretized,urban_percentage_discretized,confirmed_cases_discretized,confirmed_deaths_discretized,stringency_index_discretized,government_response_index_discretized,containment_health_index_discretized,economic_support_index_discretized
1,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
2,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
3,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
4,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
5,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
6,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
7,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
8,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
9,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
10,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
11,Alaska,Region10_Seattle,low,medium,low,low,2,2,2,1
12,Alaska,Region10_Seattle,low,medium,low,low,4,3,3,2
13,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,4
14,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
15,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
16,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
17,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
18,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
19,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
20,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
21,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
22,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
23,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
24,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
25,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
26,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
27,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
28,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
29,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
30,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
31,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
32,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
33,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
34,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
35,Alaska,Region10_Seattle,low,medium,medium,low,3,4,4,4
36,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
37,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
38,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
39,Alaska,Region10_Seattle,low,medium,medium,medium,3,3,3,4
40,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
41,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,4
42,Alaska,Region10_Seattle,low,medium,high,medium,3,3,3,4
43,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,4
44,Alaska,Region10_Seattle,low,medium,high,high,3,3,3,4
45,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,4
46,Alaska,Region10_Seattle,low,medium,high,medium,3,3,3,3
47,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
