Row Labels,Average of h1_public_information_campaigns,Average of h2_testing_policy,Average of h3_contact_tracing,Average of h6_facial_coverings,Average of h7_vaccination_policy,Average of h7_flag,Average of h8_protection_of_elderly_people,Average of confirmed_cases,Average of confirmed_deaths
1,0,0,0,0,0,0,0,0,0
2,0.04,0,0,0,0,0,0,0,0
3,0.06,0,0,0,0,0,0,0,0
4,0.2,1,1,0,0,0,0,0.000812,0
5,0.46,1,1,0,0,0,0,0.000498,0
6,0.54,1,1,0,0,0,0,0.000444,0
7,0.56,1,1,0,0,0,0,0.000102,0
8,0.58,1,1,0,0,0,0,0.000102,0
9,0.92,1,1,0,0,0,0.08,0.005628,0.00027
10,1.22,1.02,1.02,0,0,0,0.12,0.112206,0.004834
11,1.58,1.02,1.04,0.04,0,0,1.38,0.763628,0.013604
12,2,1.06,1.06,0.04,0,0,2.02,6.803296,0.103462
13,2,1.1,1.06,0.04,0,0,2.24,23.924022,0.579896
14,2,1.16,1.08,1,0,0,2.34,47.061996,1.803666
15,2,1.2,1.1,1.12,0,0,2.4,54.249836,2.993752
16,2,1.32,1.12,1.3,0,0,2.44,52.441306,3.480394
17,2,1.52,1.18,1.4,0,0,2.44,59.64499,3.79724
18,2,1.66,1.22,1.56,0,0,2.42,55.865642,3.491426
19,2,1.8,1.26,1.64,0,0,2.42,52.251252,3.255852
20,2,2,1.34,1.72,0,0,2.42,47.872062,2.799238
21,2,2.04,1.44,1.74,0,0,2.44,48.346998,2.337306
22,2,2.16,1.44,1.78,0,0,2.46,42.46259,1.948588
23,2,2.3,1.48,1.82,0,0,2.46,41.680538,1.63485
24,2,2.32,1.48,1.84,0,0,2.42,42.19978,1.366228
25,2,2.34,1.48,1.92,0,0,2.36,48.299334,1.133156
26,2,2.34,1.48,2.12,0,0,2.26,67.31768,1.073924
27,2,2.34,1.48,2.4,0,0,2.26,83.646532,0.931228
28,2,2.4,1.48,2.52,0,0,2.22,99.862606,1.299058
29,2,2.44,1.52,2.62,0,0,2.2,114.340012,1.328988
30,2,2.48,1.6,2.66,0,0,2.16,119.224534,1.581072
31,2,2.48,1.58,2.74,0,0,2.16,114.553058,1.802694
32,2,2.48,1.6,2.74,0,0,2.16,101.657702,1.71583
33,2,2.48,1.6,2.74,0,0,2.14,91.685192,1.67384
34,2,2.54,1.64,2.76,0,0,2.12,85.199364,1.645358
35,2,2.56,1.64,2.76,0,0,2.12,93.518698,1.642202
36,2,2.56,1.62,2.76,0,0,2.12,91.172288,1.517392
37,2,2.58,1.62,2.76,0,0,2.08,82.522404,1.325032
38,2,2.62,1.62,2.76,0,0,2.06,100.713858,1.552556
39,2,2.6,1.62,2.76,0,0,2.02,110.08432,1.50305
40,2,2.6,1.62,2.82,0,0,2.02,115.706318,1.504728
41,2,2.6,1.62,2.84,0,0,2,142.382526,1.664064
42,2,2.64,1.62,2.86,0,0,2.04,160.32626,1.79261
43,2,2.68,1.6,2.92,0,0,2.06,203.025184,2.09693
44,2,2.7,1.52,2.92,0,0,2.08,243.744452,2.387966
45,2,2.7,1.54,2.96,0,0,2.06,325.119866,2.84345
46,2,2.64,1.54,3,0,0,2.1,415.609724,3.120348
47,2,2.66,1.52,3.02,0,0,2.12,463.665088,4.267748
48,2,2.68,1.54,2.96,0,0,2.14,411.088278,3.971394
49,2,2.68,1.54,2.96,0,0,2.14,471.300084,5.82128
50,2,2.68,1.52,2.94,0.02,0.02,2.16,477.197736,6.66025
51,2,2.68,1.5,2.92,1.34,0.9,2.14,433.153688,6.306082
52,2,2.68,1.52,2.92,1.56,0.92,2.16,347.51015,5.13276
53,2,2.68,1.52,2.92,1.88,0.94,2.16,419.39112,5.922616
54,2,2.7,1.54,2.92,2,0.96,2.16,479.661818,6.784498
55,2,2.7,1.46,0,2.14,0.96,2.16,409.123934,6.73575
56,2,2.7,1.46,2.86,2.26,0.98,2.18,323.569388,5.99319
57,2,2.68,1.48,2.94,2.36,0.98,2.18,277.980112,6.088976
58,2,2.66,1.5,2.94,2.4,0.98,2.18,220.225,5.590386
59,2,2.66,1.48,2.96,2.48,0.98,2.16,175.779332,4.460166
60,2,2.7,1.46,2.9,2.54,0.98,2.12,133.10464,3.282142
61,2,2.74,1.48,2.88,2.66,0.98,2.04,135.555038,3.34922
62,2,2.76,1.48,2.88,2.76,0.98,1.96,116.843912,2.848656
63,2,2.78,1.5,2.86,2.92,0.98,1.88,111.362716,2.429734
64,2,2.8,1.5,2.84,3.02,0.98,1.82,115.653892,1.971512
65,2,2.84,1.5,2.88,3.28,0.98,1.78,128.70433,1.656926
66,2,2.82,1.5,2.86,3.72,0.98,1.76,134.07335,1.464842
67,1.98,2.72,1.5,2.74,4.16,0.98,1.74,143.219698,2.198588
68,1.98,2.76,1.5,2.68,4.34,0.98,1.76,142.122112,1.384
Grand Total,1.766470588,2.135882353,1.352352941,2.017058824,0.703529412,0.256470588,1.826470588,141.9953685,2.368629382
